,country,patientid
0, Afghanistan,1
1, Australia,69
2, Australia ,4
3, Austria,3
4, Belgium,1
5, Brazil,2
6, Canada,15
7, China,56
8, Colombia,1
9, Denmark,2
10, Egypt,14
11, Germany,167
12, Greece,5
13, Guatemala,2
14, Iran,13
15, Israel,4
16, Italy,83
17, Italy ,4
18, Japan,11
19, Jordan,2
20, Malaysia,2
21, New Zealand,1
22, Pakistan,8
23, Philippines,3
24, Portugal,11
25, Qatar,2
26, Russia ,2
27, Saudi Arabia,6
28, South Korea,5
29, Spain,48
30, Spain ,5
31, Sweden,2
32, Taiwan,10
33, Taiwan ,2
34, Turkey,2
35, Ukraine,1
36, United Kingdom,28
37, United Kingdom ,10
38, United States,40
39, Vietnam,6
40,Argentina,1
41,Australia,11
42,Austria,3
43,Belgium,2
44,China,7
45,Germany,2
46,Greece,2
47,Hong Kong,14
48,Hungary,9
49,Iran,3
50,Italy,81
51,Malta,8
52,Pakistan,6
53,Portugal,7
54,Saudi Arabia,6
55,Singapore,3
56,South Korea,13
57,Spain,24
58,Taiwan,6
59,Thailand,3
60,Turkey,1
61,United Kingdom,25
62,United Kingdom ,4
